Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,209.316366,203.115114,1.031069
 ,2,213.846667,205.012222,1.043645
 ,3,218.212687,205.936567,1.060214
 ,4,217.462625,205.670009,1.057887
 ,5,214.377058,207.165752,1.035344
 ,6,216.864865,206.675676,1.049929
 ,7,218.876946,206.405399,1.061004
 ,8,215.1893,205.432099,1.048044
 ,9,215.842105,204.508772,1.056025
 ,10,221.061489,207.666667,1.064974
 ,11,216.58642,207.234568,1.045715
 ,12,216.722727,206.159091,1.051766
 ,13,214.696809,207.664894,1.034304
 ,14,211.009132,203.452055,1.037646
2,1,209.925215,203.443618,1.032386
 ,2,214.747778,205.117778,1.047525
 ,3,218.25,206.177239,1.059087
 ,4,217.567457,205.740201,1.058058
 ,5,214.735456,206.935236,1.038185
 ,6,217.034749,206.737452,1.050415
 ,7,218.845331,206.903696,1.05829
 ,8,215.919753,205.685185,1.050413
 ,9,215.530702,206.065789,1.046418
 ,10,220.430421,207.776699,1.061657
 ,11,215.907407,208.185185,1.03757
 ,12,216.595455,206.286364,1.050541
 ,13,215.569149,208.132979,1.036176
 ,14,211.598174,204.013699,1.037637
3,1,209.855521,203.705951,1.030714
 ,2,214.141111,205.611111,1.041992
 ,3,218.666978,206.080224,1.061658
 ,4,217.308569,206.189608,1.054483
 ,5,214.699232,207.323271,1.036109
 ,6,217.953668,206.399614,1.056549
 ,7,218.927286,206.70963,1.059636
 ,8,215.561728,205.621399,1.048965
 ,9,215.517544,205.614035,1.048815
 ,10,221.501618,207.640777,1.067417
 ,11,215.697531,207.098765,1.042085
 ,12,216.663636,206.15,1.051648
 ,13,214.984043,207.81383,1.03493
 ,14,211.461187,204.246575,1.035936
4,1,209.290916,203.393892,1.029547
 ,2,214.523333,205.024444,1.046931
 ,3,218.527052,205.915112,1.061875
 ,4,217.395169,205.620328,1.057818
 ,5,214.907794,207.220088,1.037639
 ,6,217.301158,206.895753,1.050821
 ,7,218.900778,206.990516,1.058123
 ,8,215.709877,205.946502,1.048043
 ,9,215.451754,205.925439,1.046747
 ,10,221.669903,208.391586,1.064341
