Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,218.274771,206.847706,1.055752
 ,2,220.693333,208.006667,1.061596
 ,3,215.699541,206.763761,1.043753
 ,4,223.031627,209.27259,1.065553
 ,5,235.297535,208.698944,1.127913
 ,6,215.464706,205.262745,1.050308
 ,7,215.456882,204.748756,1.052882
 ,8,218.490234,206.039063,1.061046
 ,9,217.095137,205.826638,1.055351
 ,10,214.018349,204.405963,1.047587
 ,11,221.93097,207.494403,1.070249
 ,12,212.188285,203.974895,1.040905
 ,13,215.164216,204.502451,1.052765
 ,14,217.018519,205.277778,1.057674
 ,15,213.969466,204.732824,1.045794
 ,16,213.137184,204.33574,1.043546
 ,17,212.137255,205.917532,1.030723
 ,18,209.746528,204.352431,1.026895
 ,19,208.233209,203.139925,1.025562
2,1,218.736697,206.923853,1.057602
 ,2,220.266667,207.893333,1.060062
 ,3,216.472477,207.091743,1.045836
 ,4,223.569277,209.246988,1.068188
 ,5,235.096831,208.056338,1.13033
 ,6,215.719608,204.860784,1.053627
 ,7,215.677446,205.157546,1.051794
 ,8,218.734375,206.111328,1.061833
 ,9,218.10148,205.473573,1.061989
 ,10,214.626147,204.899083,1.048006
 ,11,222.315299,207.380597,1.072642
 ,12,212.656904,203.711297,1.044404
 ,13,214.872549,204.60049,1.050778
 ,14,216.592593,204.537037,1.05962
 ,15,214.870229,204.076336,1.053482
 ,16,214.833935,204.534296,1.051024
 ,17,212.287774,205.779123,1.032123
 ,18,210.552951,204.371528,1.030739
 ,19,208.660448,203.100746,1.027804
3,1,217.99633,206.753211,1.054902
 ,2,219.553333,207.296667,1.059747
 ,3,216.057339,206.680046,1.04591
 ,4,223.417169,209.626506,1.06555
 ,5,235.661972,207.883803,1.134091
 ,6,215.888235,204.968627,1.053841
 ,7,215.839967,205.058043,1.053116
 ,8,218.419922,205.841797,1.061681
 ,9,218.099366,205.038055,1.064316
 ,10,214.174312,204.045872,1.050175
 ,11,222.216418,207.070896,1.073855
 ,12,213.48954,203.933054,1.047498
 ,13,215.227941,204.245098,1.054341
 ,14,217.361111,205.587963,1.057992
 ,15,213.671756,205.183206,1.041904
 ,16,212.032491,204.32491,1.038194
 ,17,211.909458,205.923299,1.029583
 ,18,209.902778,204.798611,1.025404
 ,19,208.68097,203.097015,1.028049
4,1,218.251835,206.742661,1.056181
 ,2,220.003333,206.933333,1.063792
 ,3,216.145642,206.883028,1.04534
 ,4,223.551205,209.393072,1.067315
 ,5,235.450704,208.232394,1.13114
 ,6,215.633333,205.22549,1.051308
 ,7,215.539801,205.124378,1.051261
 ,8,218.808594,205.617188,1.064749
 ,9,217.752643,205.744186,1.058954
 ,10,213.942661,204.894495,1.044725
 ,11,222.352612,207.585821,1.071865
 ,12,212.410042,203.811715,1.042742
 ,13,215.17402,204.762255,1.051346
 ,14,217.189815,204.277778,1.063811
 ,15,214.110687,204.278626,1.048653
 ,16,212.906137,204,1.044124
 ,17,212.163783,205.778547,1.031553
 ,18,210.013889,204.712674,1.026411
 ,19,208.205224,202.658582,1.0279
5,1,218.229358,206.922936,1.055186
 ,2,220.696667,208.323333,1.060005
 ,3,216.005734,206.681193,1.045662
 ,4,223.006024,209.798193,1.062707
 ,5,235.357394,208.466549,1.129439
 ,6,215.796078,205.439216,1.051026
 ,7,215.000829,205.120232,1.048776
 ,8,218.898438,205.992188,1.063224
 ,9,217.365751,205.663848,1.05742
 ,10,213.754587,204.944954,1.04353
 ,11,222.117537,208.151119,1.067687
 ,12,212.389121,204.711297,1.03808
 ,13,215.196078,204.644608,1.052178
 ,14,217.425926,206.018519,1.056094
 ,15,214.812977,205.103053,1.047924
 ,16,213.104693,203.963899,1.045372
 ,17,211.866205,206.064014,1.028685
 ,18,210.082465,204.981771,1.025423
 ,19,208.376866,202.744403,1.028365
6,1,218.458716,207.218807,1.054745
 ,2,220.966667,208.7,1.059314
 ,3,216.099771,206.803899,1.045514
 ,4,225.173193,210.128012,1.071324
 ,5,235.985915,208.410211,1.132759
 ,6,216.256863,205.378431,1.053528
 ,7,215.742952,205.387231,1.050993
 ,8,218.558594,206.386719,1.059573
 ,9,217.809725,205.585624,1.060014
 ,10,214.449541,204.933486,1.047037
 ,11,222.304104,207.468284,1.072096
 ,12,211.732218,203.008368,1.043516
 ,13,214.67402,204.281863,1.051454
 ,14,217.152778,205.657407,1.056271
 ,15,214.240458,204.564885,1.047892
 ,16,212.566787,204.945848,1.037835
 ,17,212.275087,206.180507,1.030047
 ,18,210.232639,204.546007,1.02833
 ,19,208.326493,202.973881,1.02695
7,1,218.733486,207.309633,1.055627
 ,2,219.96,207.343333,1.061563
 ,3,216.760321,206.887615,1.048311
 ,4,223.033133,209.834337,1.062677
 ,5,235.65493,208.098592,1.132921
 ,6,215.905882,204.927451,1.054163
 ,7,215.13267,205.21393,1.04888
 ,8,218.695313,206.324219,1.060619
 ,9,217.41649,205.515856,1.058442
 ,10,214.580275,204.667431,1.049018
 ,11,221.774254,207.360075,1.070136
 ,12,212.502092,203.430962,1.04502
 ,13,215.10049,204.894608,1.050434
 ,14,216.180556,204.99537,1.055132
 ,15,213.755725,204.412214,1.046339
 ,16,212.191336,204.530686,1.037992
 ,17,211.737024,206.214533,1.027285
 ,18,209.809896,204.624132,1.025887
 ,19,209.26306,203.26306,1.030002
8,1,218.626606,206.960092,1.056896
 ,2,219.83,207.236667,1.061314
 ,3,216.027523,206.987385,1.044303
 ,4,223.495482,209.533133,1.066371
 ,5,235.357394,208.889085,1.12705
 ,6,216.090196,205.572549,1.051671
 ,7,215.489221,205.339967,1.050004
 ,8,218.251953,206.429688,1.0578
 ,9,217.321353,205.124736,1.060049
 ,10,214.174312,204.46789,1.048073
 ,11,221.660448,208.248134,1.065067
 ,12,212.125523,203.619247,1.042302
 ,13,215.240196,204.448529,1.053401
 ,14,217.337963,205.666667,1.057411
 ,15,214.091603,205.19084,1.043855
 ,16,212.736462,204.534296,1.04069
 ,17,211.861592,206.038639,1.028795
 ,18,210.418403,204.537326,1.02927
 ,19,208.751866,203.378731,1.026988
9,1,218.387156,206.940826,1.05579
 ,2,220.833333,208,1.062323
 ,3,215.079128,207.037844,1.03943
 ,4,223.325301,209.524096,1.065727
 ,5,234.723592,208.320423,1.12726
 ,6,215.443137,205.239216,1.050262
 ,7,215.706468,205.314262,1.051248
 ,8,218.837891,206.068359,1.062564
 ,9,217.816068,205.389006,1.061135
 ,10,213.722477,204.779817,1.044251
 ,11,221.423507,208.304104,1.063652
 ,12,212.384937,204.096234,1.041235
 ,13,215.17402,204.531863,1.052687
 ,14,217.509259,204.875,1.062207
 ,15,214.320611,204.778626,1.04715
 ,16,212.98917,204.523466,1.041953
 ,17,211.838524,206.051326,1.028632
 ,18,209.822049,204.729167,1.025391
 ,19,208.20709,202.869403,1.026873
10,1,218.587156,207.315596,1.054883
 ,2,220.18,207.696667,1.060699
 ,3,216.083716,207.082569,1.044009
 ,4,222.664157,209.195783,1.064205
 ,5,234.772887,208.193662,1.128102
 ,6,215.145098,204.990196,1.050123
 ,7,215.286899,205.13267,1.050033
 ,8,218.380859,205.710938,1.062204
 ,9,217.570825,204.674419,1.063578
 ,10,213.348624,204.332569,1.044714
 ,11,221.647388,208.007463,1.066195
 ,12,212.58159,203.251046,1.046441
 ,13,214.985294,204.367647,1.052466
 ,14,217.041667,204.87963,1.059896
 ,15,214.339695,204.832061,1.047005
 ,16,212.776173,204.945848,1.038655
 ,17,211.678777,205.929642,1.02844
 ,18,210.184028,204.743924,1.027121
 ,19,208.809701,203.33209,1.027436
11,1,218.701835,207.038532,1.056803
 ,2,220.466667,207.133333,1.064948
 ,3,215.912844,206.922018,1.044023
 ,4,221.763554,209.376506,1.059073
 ,5,235.360915,208.214789,1.130847
 ,6,215.470588,204.670588,1.053318
 ,7,215.23466,205.28524,1.049026
 ,8,217.5625,206.347656,1.054939
 ,9,217.116279,204.945032,1.059987
 ,10,213.896789,204.816514,1.044875
 ,11,221.406716,207.673507,1.066706
 ,12,213.004184,203.355649,1.04798
 ,13,215.034314,204.791667,1.05058
 ,14,216.606481,205.013889,1.057305
 ,15,214.366412,205.110687,1.045604
 ,16,212.234657,203.725632,1.042322
 ,17,212.250288,205.851788,1.031599
 ,18,209.814236,204.674479,1.025628
 ,19,208.315299,202.835821,1.027587
12,1,218.218807,206.998624,1.054689
 ,2,227.553333,207.263333,1.098474
 ,3,215.588303,206.626147,1.043912
 ,4,219.721386,207.733434,1.057816
 ,5,234.397887,208.306338,1.125671
 ,6,215.75098,205.429412,1.050833
 ,7,215.383914,204.994196,1.051214
 ,8,218.033203,206.220703,1.05782
 ,9,217.486258,205.408034,1.059337
 ,10,213.894495,204.577982,1.046121
 ,11,221.26306,207.479478,1.067027
 ,12,212.882845,203.564854,1.046305
 ,13,215.556373,205.022059,1.05194
 ,14,216.532407,205.143519,1.05609
 ,15,214.10687,204.839695,1.045802
 ,16,212.570397,204.176895,1.041649
 ,17,211.77105,206.243945,1.027301
 ,18,210.111979,204.626736,1.027324
 ,19,208.018657,202.458955,1.028004
13,1,218.088073,207.036239,1.053917
 ,2,220.536667,207.476667,1.063493
 ,3,216.099771,206.779817,1.045673
 ,4,219.325301,208.13253,1.05414
 ,5,234.512324,208.431338,1.125627
 ,6,215.378431,205.460784,1.048836
 ,7,215.429519,204.94942,1.051746
 ,8,218.001953,205.347656,1.0622
 ,9,217.249471,204.890063,1.060897
 ,10,213.227064,203.965596,1.046021
 ,11,221.384328,207.033582,1.069904
 ,12,212.761506,203.991632,1.043493
 ,13,214.377451,204.338235,1.049728
 ,14,216.597222,205.898148,1.052478
 ,15,213.461832,204.538168,1.04424
 ,16,211.971119,204.772563,1.035747
 ,17,211.915802,206.074971,1.028847
 ,18,210.094618,204.519965,1.027776
 ,19,207.833955,203.080224,1.024046
14,1,218.108716,207.087615,1.053748
 ,2,219.31,207.47,1.057665
 ,3,215.889908,207.377294,1.041592
 ,4,219.429217,208.138554,1.054474
 ,5,234.621479,208.334507,1.12673
 ,6,215.476471,205.135294,1.050922
 ,7,215.092869,204.841625,1.050594
 ,8,218.248047,205.753906,1.06126
 ,9,217.262156,205.293869,1.058827
 ,10,213.155963,204.607798,1.04226
 ,11,221.936567,207.68097,1.069257
 ,12,212.058577,203.778243,1.041208
 ,13,215.35049,204.676471,1.052709
 ,14,216.814815,205.013889,1.058088
 ,15,213.694656,205.171756,1.04212
 ,16,212.480144,204.036101,1.04195
 ,17,211.963091,205.990196,1.029509
 ,18,209.991319,204.415799,1.027817
 ,19,208.563433,203.057836,1.027668
15,1,217.805505,206.859633,1.053439
 ,2,221.2,208.786667,1.060178
 ,3,215.848624,206.443807,1.046143
 ,4,219.596386,207.739458,1.057281
 ,5,234.359155,208.306338,1.125487
 ,6,215.445098,204.931373,1.051937
 ,7,214.936982,205.059701,1.048774
 ,8,218.462891,205.232422,1.06504
 ,9,218.090909,205.391121,1.062377
 ,10,214.637615,204.733945,1.048899
 ,11,222.445896,207.649254,1.071987
 ,12,212.34728,203.853556,1.042258
 ,13,214.539216,204.301471,1.050627
 ,14,216.916667,204.972222,1.058841
 ,15,213.805344,204.923664,1.043809
 ,16,212.303249,204.444043,1.038966
 ,17,211.764706,206.126298,1.027883
 ,18,210.081597,204.438368,1.028145
 ,19,207.768657,202.608209,1.026051
16,1,218.238532,206.66055,1.056523
 ,2,220.72,207.8,1.062796
 ,3,215.547018,206.869266,1.04252
 ,4,220.86747,208.710843,1.058265
 ,5,234.43662,208.375,1.125526
 ,6,215.186275,205.154902,1.049455
 ,7,214.904643,205.386401,1.046912
 ,8,218.15625,205.662109,1.061276
 ,9,216.989429,205.107822,1.058467
 ,10,213.894495,204.777523,1.045118
 ,11,221.283582,207.391791,1.067552
 ,12,212.610879,203.523013,1.045249
 ,13,215,204.772059,1.050465
 ,14,217.069444,205.231481,1.058376
 ,15,213.801527,204.122137,1.047886
 ,16,211.592058,204.494585,1.035275
 ,17,213.253749,206.00173,1.03569
 ,18,210.429688,204.368056,1.030219
 ,19,208.162313,203.014925,1.025846
17,1,218.015596,207.244495,1.052451
 ,2,220.7,208.003333,1.061583
 ,3,215.279817,206.701835,1.042054
 ,4,221.239458,208.718373,1.059987
 ,5,234.375,208.373239,1.125317
 ,6,215.313725,204.77451,1.052052
 ,7,215.501658,204.984245,1.051871
 ,8,218.060547,206.066406,1.058777
 ,9,217.198732,205.794926,1.056031
 ,10,214.146789,205.380734,1.043273
 ,11,221.235075,207.994403,1.064324
 ,12,212.372385,203.527197,1.04402
 ,13,215.431373,204.982843,1.051522
 ,14,216.736111,205.180556,1.056758
 ,15,213.484733,205.118321,1.041344
 ,16,212.075812,204.501805,1.037582
 ,17,211.746251,205.853518,1.029145
 ,18,210.221354,204.712674,1.027498
 ,19,208.358209,202.764925,1.028093
18,1,218.8,206.901835,1.058001
 ,2,220.08,207.296667,1.062182
 ,3,215.600917,206.824541,1.042989
 ,4,220.335843,208.409639,1.057196
 ,5,234.508803,208.216549,1.126608
 ,6,215.941176,205.109804,1.053326
 ,7,215.606136,205.184909,1.051354
 ,8,218.369141,206.072266,1.060172
 ,9,217.674419,205.164905,1.061572
 ,10,213.729358,204.944954,1.043477
 ,11,222.134328,207.83209,1.069328
 ,12,213.117155,203.472803,1.047845
 ,13,215.463235,204.622549,1.053605
 ,14,217.347222,205.611111,1.057609
 ,15,213.69084,204.835878,1.04379
 ,16,211.945848,203.931408,1.039863
 ,17,212.16782,205.972895,1.030627
 ,18,210.375868,204.675347,1.028395
 ,19,209.057836,203.115672,1.029769
19,1,218.089908,206.705046,1.055632
 ,2,219.906667,207.816667,1.058896
 ,3,215.662844,207.026376,1.042295
 ,4,219.031627,208.332831,1.051526
 ,5,234.058099,208.015845,1.125551
 ,6,215.321569,204.952941,1.051169
 ,7,215.560531,205.185738,1.05114
 ,8,217.716797,206.306641,1.055809
