Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,221.791304,206.363768,1.075377
 ,2,216.77849,204.890313,1.058533
 ,3,213.854798,204.109848,1.048331
 ,4,215.563253,204.845884,1.052876
 ,5,213.015723,203.056604,1.049473
 ,6,213.143555,204.525351,1.04268
 ,7,214.381463,204.766829,1.047475
 ,8,213.88,204.513333,1.046358
 ,9,216.371889,204.802343,1.057007
 ,10,221.850093,205.557728,1.079848
 ,11,220.439024,207.378049,1.063378
 ,12,230.945736,207.643411,1.112858
2,1,221.992029,206.804348,1.074101
 ,2,216.730057,204.992165,1.057759
 ,3,214.359848,204.409091,1.049245
 ,4,215.97992,204.600402,1.056217
 ,5,212.974843,203.830189,1.045405
 ,6,213.434942,204.219914,1.045656
 ,7,214.580488,205.037561,1.047072
 ,8,214.806667,203.996667,1.053513
 ,9,216.434846,205.292826,1.054807
 ,10,222.362197,205.368715,1.083284
 ,11,221.00542,207.592141,1.06501
 ,12,231.445736,208.825581,1.109106
3,1,222.181884,206.444203,1.076842
 ,2,217.269231,205.154558,1.059597
 ,3,213.628788,204.041667,1.047482
 ,4,215.893072,204.730422,1.055097
 ,5,213.018868,204.160377,1.043898
 ,6,213.614539,204.554062,1.044849
 ,7,214.283902,204.996098,1.045863
 ,8,214.25,204.543333,1.048012
 ,9,216.81552,204.824305,1.059074
 ,10,221.682495,205.969274,1.076808
 ,11,220.814363,208.159892,1.061152
 ,12,230.55814,207.562016,1.111478
4,1,221.70942,206.785507,1.072764
 ,2,217.163818,204.440171,1.062746
 ,3,213.887626,204.090909,1.048603
 ,4,216.121988,204.584839,1.05698
 ,5,213.462264,203.930818,1.047279
 ,6,213.431277,204.281002,1.045327
 ,7,214.287317,205.274146,1.044455
 ,8,214.04,204.65,1.046419
 ,9,216.124451,205.467057,1.052369
 ,10,221.571695,206.150838,1.075378
 ,11,220.407859,207.413279,1.063007
 ,12,230.736434,208.418605,1.107727
5,1,222.142029,206.433333,1.076687
 ,2,216.910256,204.900285,1.05915
 ,3,214.713384,204.176768,1.052112
 ,4,215.949297,204.615462,1.05598
 ,5,212.446541,204.066038,1.04166
 ,6,213.977398,204.395235,1.047446
 ,7,214.533171,205.02878,1.046882
 ,8,214.416667,204.686667,1.048013
 ,9,216.620791,205.24451,1.055892
 ,10,221.849162,205.789572,1.078572
 ,11,220.676152,207.571816,1.063507
 ,12,230.228682,208.20155,1.106439
6,1,222.193478,206.614493,1.075995
 ,2,216.789886,205.131766,1.057406
 ,3,214.208333,204.662879,1.04721
 ,4,215.600402,204.723394,1.053691
 ,5,213.320755,204.22327,1.045085
 ,6,213.530849,204.422114,1.045127
 ,7,213.994146,204.850244,1.045211
 ,8,214.253333,204.053333,1.050493
 ,9,216.737921,205.36164,1.055889
 ,10,221.689944,205.477654,1.079527
 ,11,220.012195,208.262873,1.056691
 ,12,228.914729,207.306202,1.104885
7,1,221.995652,206.767391,1.074284
 ,2,216.490741,204.67735,1.058262
 ,3,213.623737,204.313131,1.046115
 ,4,215.447289,204.710341,1.05303
 ,5,212.292453,203.446541,1.044022
 ,6,213.113012,204.544288,1.042423
 ,7,213.975122,205.023902,1.044184
 ,8,214.116667,204.113333,1.049617
 ,9,216.746706,204.995608,1.057914
 ,10,221.486965,205.740223,1.0771
 ,11,220.630081,207.571816,1.063288
 ,12,230.356589,207.232558,1.112304
8,1,222.060145,206.386957,1.076566
 ,2,216.75,204.878205,1.058529
 ,3,213.734848,203.791667,1.049329
 ,4,215.885542,204.875502,1.05431
 ,5,213.028302,203.959119,1.045076
 ,6,213.553451,204.180819,1.046465
 ,7,214.421951,204.506829,1.049026
