Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,205.317152,202.23301,1.015458
 ,2,206.704545,203.113636,1.017809
 ,3,204.975845,202.243961,1.013694
 ,4,207.336134,203.029412,1.021396
 ,5,213.409449,204.346457,1.044542
 ,6,211.85446,204.065728,1.038375
 ,7,206.432292,202.429688,1.019952
 ,8,205.507246,202.442029,1.015308
 ,9,208.095023,203.79638,1.021311
 ,10,212.355634,205.014085,1.036001
2,1,205.592233,202.491909,1.015498
 ,2,207.727273,203.704545,1.019853
 ,3,205.693237,202.644928,1.015246
 ,4,207.142857,202.647059,1.022357
 ,5,213.38189,204.106299,1.045677
 ,6,212.225352,204.117371,1.039884
 ,7,206.674479,202.536458,1.020632
 ,8,205.797101,202.76087,1.015154
 ,9,208.217195,203.837104,1.021672
 ,10,212.318662,205.399648,1.033864
3,1,205.20712,202.439051,1.013871
 ,2,207.159091,203.159091,1.019844
 ,3,205.538647,202.330918,1.016057
 ,4,207.411765,202.894958,1.022464
 ,5,213.314961,204.598425,1.042789
 ,6,212.751174,204.211268,1.042038
 ,7,206.580729,202.736979,1.019113
 ,8,205.26087,201.949275,1.01662
 ,9,208.493213,203.846154,1.023061
 ,10,212.433099,205.125,1.035838
4,1,205.466019,202.242718,1.016128
 ,2,206.75,203.181818,1.017765
 ,3,205.227053,202.28744,1.014738
 ,4,207.247899,203.323529,1.019492
 ,5,213.173228,204.031496,1.045023
 ,6,212.71831,204,1.042968
 ,7,206.684896,202.104167,1.022855
 ,8,206.094203,202.710145,1.016853
 ,9,208.438914,203.656109,1.023683
 ,10,212.207746,204.910211,1.035798
5,1,205.66343,202.528587,1.015691
 ,2,206.75,202.454545,1.021373
 ,3,205.205314,202.625604,1.012917
 ,4,207.546218,203.239496,1.021389
 ,5,212.96063,204.149606,1.043354
 ,6,212.380282,204.00939,1.041288
 ,7,206.265625,202.942708,1.016558
 ,8,205.978261,202.521739,1.017231
 ,9,208.778281,203.954751,1.023828
 ,10,211.823944,205.202465,1.032455
6,1,205.693635,202.615965,1.015393
 ,2,206.977273,203.136364,1.019134
 ,3,205.301932,202.729469,1.012884
 ,4,207.344538,203.147059,1.020876
 ,5,213.106299,204.188976,1.043868
 ,6,212.384977,204.535211,1.038554
 ,7,206.692708,202.554688,1.020662
 ,8,205.833333,203.065217,1.013872
 ,9,208.235294,203.873303,1.021595
 ,10,211.966549,205.058099,1.033927
7,1,205.62891,202.426106,1.016004
 ,2,207.386364,202.568182,1.023922
 ,3,205.384058,202.444444,1.014696
 ,4,207.462185,202.869748,1.022799
 ,5,213.354331,204.248031,1.04479
 ,6,212.15493,204.122066,1.039576
 ,7,206.502604,202.669271,1.019105
 ,8,206.021739,202.202899,1.019015
 ,9,208.488688,203.950226,1.022427
 ,10,212.304577,205.621479,1.032708
8,1,205.375405,202.770227,1.013044
 ,2,207.227273,202.931818,1.021313
 ,3,205.507246,202.432367,1.01539
 ,4,207.928571,203.155462,1.023694
 ,5,213.334646,204.775591,1.042013
 ,6,211.638498,204.314554,1.036
 ,7,206.315104,202.950521,1.016798
 ,8,205.565217,202.333333,1.016143
 ,9,208.072398,203.533937,1.022509
 ,10,211.839789,205.088028,1.033144
9,1,205.322546,202.476807,1.01423
 ,2,207.204545,203.931818,1.01631
 ,3,205.475845,202.710145,1.013863
 ,4,207.432773,202.894958,1.022545
 ,5,213.098425,204.586614,1.041777
 ,6,212.441315,204.103286,1.041047
 ,7,206.091146,202.539063,1.01771
 ,8,205.456522,202.333333,1.015572
 ,9,208.624434,203.674208,1.024502
 ,10,211.996479,205.334507,1.032639
10,1,205.522114,202.704423,1.014089
 ,2,207.522727,202.568182,1.024578
 ,3,205.533816,202.39372,1.015695
 ,4,207.138655,203.252101,1.019343
 ,5,213.318898,204.629921,1.0427
 ,6,212.488263,204.29108,1.040322
 ,7,206.596354,202.851563,1.018642
 ,8,205.76087,202.594203,1.015851
 ,9,208.755656,203.782805,1.024616
 ,10,212.117958,205.207746,1.033868
11,1,205.445523,202.588997,1.014269
 ,2,207.159091,202.704545,1.022221
 ,3,205.468599,202.311594,1.015772
 ,4,206.915966,202.865546,1.020151
 ,5,213.259843,204.366142,1.043709
 ,6,212.032864,204.234742,1.03834
 ,7,206.570313,202.289063,1.021356
 ,8,205.717391,202.536232,1.015941
 ,9,208.171946,203.511312,1.02308
 ,10,212.026408,205.695423,1.030969
12,1,205.584682,202.482201,1.01552
 ,2,207.227273,203.5,1.018489
 ,3,205.483092,202.437198,1.015229
 ,4,207.016807,202.844538,1.020743
 ,5,212.673228,204.275591,1.041332
 ,6,212.760563,204.788732,1.039067
 ,7,206.575521,202.630208,1.019681
 ,8,205.630435,201.934783,1.018508
 ,9,208.253394,203.764706,1.022212
 ,10,212.052817,205.28169,1.03317
13,1,205.68069,202.636462,1.015218
 ,2,207.75,202.75,1.024893
 ,3,205.193237,202.536232,1.013289
 ,4,207.327731,202.806723,1.022476
 ,5,212.885827,204.397638,1.041763
 ,6,212.150235,204.276995,1.038751
 ,7,206.46875,202.984375,1.017364
 ,8,205.471014,202.514493,1.01486
 ,9,208.511312,203.945701,1.022531
 ,10,211.940141,205.43838,1.031858
14,1,205.658037,202.585761,1.015365
 ,2,207.636364,203.363636,1.021207
 ,3,205.248792,202.695652,1.012777
 ,4,207.37395,202.810924,1.022665
 ,5,213.082677,204.783465,1.040728
 ,6,212.276995,204.309859,1.039197
