Field#,Object#,MEAN_RED.1,MEAN_GREEN.1,MEAN_OF_RATIOS_RG.1
1,1,441.180645,206.085161,2.14184
 ,2,221.478125,205.68125,1.077423
 ,3,225.265808,205.811475,1.092909
 ,4,217.798851,205.396552,1.060879
 ,5,216.941379,206.984483,1.048627
 ,6,220.713433,207,1.066868
 ,7,216.727891,206.212828,1.051574
 ,8,218.404891,207.644928,1.052386
 ,9,213.20134,204.412392,1.043553
 ,10,217.880952,206.595238,1.055166
 ,11,212.867868,204.597598,1.041001
 ,12,215.75,205.286585,1.051428
2,1,442.458065,206.863226,2.140119
 ,2,221.86875,206.134375,1.077052
 ,3,225.344262,206.422717,1.090669
 ,4,218.373563,206.057471,1.06044
 ,5,217.237931,207.243103,1.048765
 ,6,220.334328,206.997015,1.065073
 ,7,217.348882,206.358601,1.053797
 ,8,218.502717,207.643116,1.052876
 ,9,213.584325,204.547121,1.044746
 ,10,216.166667,206.178571,1.049096
 ,11,213.471471,204.204204,1.046005
 ,12,216.847561,205,1.058308
3,1,442.103226,206.4,2.143012
 ,2,222.328125,206.053125,1.079497
 ,3,225.484778,206.667447,1.089867
 ,4,216.91954,205.948276,1.053827
 ,5,216.22069,207.782759,1.04116
 ,6,220.519403,206.985075,1.065986
 ,7,217.209913,206.234208,1.05377
 ,8,218.417572,208.042572,1.050425
 ,9,213.73109,204.53864,1.045506
 ,10,216.654762,207.559524,1.044318
 ,11,213.780781,204.507508,1.04595
 ,12,215.067073,204.932927,1.050034
4,1,441.236129,206.722581,2.135487
 ,2,221.40625,205.909375,1.075875
 ,3,224.744731,206.70726,1.085917
 ,4,217.086207,205.517241,1.05677
 ,5,216.653448,207.503448,1.044584
 ,6,221.038806,207.58209,1.065368
 ,7,217.237123,206.380952,1.053161
 ,8,218.378623,207.778986,1.051558
 ,9,213.644782,204.496375,1.045296
 ,10,215.797619,205.22619,1.052089
 ,11,213.471471,204.114114,1.046388
 ,12,214.560976,205.628049,1.044075
5,1,442.069677,206.633548,2.140358
 ,2,222.46875,206.721875,1.076667
 ,3,224.974239,206.016393,1.090951
 ,4,217.95977,205.568966,1.060716
 ,5,216.208621,207.255172,1.043771
 ,6,221.41791,207.319403,1.068701
 ,7,217.265306,205.977648,1.055398
 ,8,218.064312,207.849638,1.049726
 ,9,213.718917,204.452469,1.045882
 ,10,217.297619,206.404762,1.053422
 ,11,213.522523,204.705706,1.04362
 ,12,215.695122,205.5,1.050083
6,1,441.44,206.787097,2.135785
 ,2,221.671875,205.396875,1.079806
 ,3,225.18267,205.961358,1.092203
 ,4,217.735632,205.442529,1.060468
 ,5,216.498276,207.368966,1.044494
 ,6,221.173134,207.337313,1.067249
 ,7,217.01069,206.479106,1.051648
 ,8,218.581522,207.496377,1.053945
 ,9,213.520312,204.419231,1.04509
 ,10,217.071429,204.666667,1.061245
 ,11,213.840841,203.867868,1.049497
 ,12,213.957317,205.707317,1.040704
7,1,441.587097,206.570323,2.13887
 ,2,221.8625,206.18125,1.076726
 ,3,224.838407,206.368852,1.088591
 ,4,216.971264,206.045977,1.053476
 ,5,216.689655,207.236207,1.046194
 ,6,221.158209,207.340299,1.067211
 ,7,217.206025,205.965015,1.055081
 ,8,218.376812,207.950181,1.050691
 ,9,213.681165,204.526741,1.045334
 ,10,217.035714,206.571429,1.051243
 ,11,213.471471,204.192192,1.046017
 ,12,216.243902,205.487805,1.052991
8,1,441.575484,206.741935,2.136971
 ,2,221.3125,206.2125,1.073703
 ,3,224.929742,206.275176,1.089493
 ,4,217.367816,206.109195,1.055324
 ,5,216.627586,208.110345,1.041485
 ,6,221.143284,207.880597,1.064541
 ,7,216.872692,206.720117,1.049691
 ,8,218.60779,207.720109,1.05296
 ,9,213.586787,204.66694,1.044146
 ,10,216.75,205.107143,1.057225
 ,11,213.663664,205.027027,1.042707
 ,12,216.378049,206.060976,1.050747
9,1,440.432258,206.846452,2.130438
 ,2,221.540625,206.35,1.074086
 ,3,224.132319,206.081967,1.086819
 ,4,217.87931,205.183908,1.062373
 ,5,217.4,207.615517,1.047644
 ,6,221.080597,207.21194,1.067423
 ,7,217.004859,206.414966,1.051876
 ,8,218.60779,207.497283,1.054052
 ,9,213.591985,204.571741,1.044661
 ,10,215.75,205.666667,1.04949
 ,11,213.231231,204.12012,1.045255
 ,12,216.146341,205.268293,1.053511
10,1,440.335484,206.749677,2.130929
 ,2,221.69375,206.16875,1.075845
 ,3,224.476581,206.023419,1.089019
 ,4,216.844828,206.293103,1.051709
 ,5,216.787931,207.789655,1.043781
 ,6,220.310448,207.191045,1.063943
 ,7,217.282799,205.955296,1.055562
 ,8,218.162138,207.949275,1.049685
 ,9,213.530297,204.435235,1.045052
 ,10,215.952381,206.940476,1.044095
 ,11,213.342342,204.561562,1.043511
 ,12,216.231707,205.128049,1.05464
11,1,441.003871,206.649032,2.135337
 ,2,222.290625,206.125,1.079032
 ,3,224.583138,206.201405,1.088394
 ,4,217.735632,205.465517,1.060202
 ,5,216.851724,207.567241,1.045276
 ,6,220.277612,207.00597,1.064775
 ,7,217.167153,206.177843,1.053864
 ,8,218.143116,207.84058,1.050069
 ,9,213.546574,204.490631,1.044859
 ,10,217.02381,206.309524,1.052433
 ,11,213.114114,204.501502,1.042653
 ,12,215.5,204.823171,1.052558
12,1,441.308387,207.107097,2.131946
 ,2,221.921875,206.240625,1.076621
 ,3,224.538642,206.366511,1.087384
 ,4,218.189655,206.477011,1.057316
 ,5,216.717241,206.986207,1.047652
 ,6,220.632836,206.641791,1.068428
 ,7,217.139942,206.400389,1.052635
 ,8,218.290761,207.714674,1.051447
 ,9,213.578033,204.46943,1.045119
 ,10,216.821429,205.928571,1.053586
 ,11,213.297297,204.447447,1.043893
 ,12,216.378049,205.310976,1.054468
13,1,439.896774,206.765161,2.128616
 ,2,221.525,205.953125,1.076198
 ,3,224.019906,206.003513,1.086633
 ,4,217.626437,205.655172,1.058692
 ,5,216.865517,207.362069,1.046386
 ,6,220.940299,207.808955,1.063841
 ,7,216.858115,206.043732,1.053021
 ,8,217.65308,207.640399,1.048845
 ,9,213.479962,204.652578,1.043698
 ,10,216.095238,205.702381,1.051206
 ,11,212.687688,204.678679,1.039763
 ,12,216.365854,204.579268,1.058245
14,1,441.294194,206.861935,2.134512
 ,2,220.334375,205.665625,1.07193
 ,3,223.296253,205.943794,1.083651
 ,4,216.885057,205.051724,1.058278
 ,5,216.141379,207.012069,1.044614
 ,6,220.561194,207.322388,1.064454
 ,7,217.392614,205.913508,1.056321
 ,8,218.088768,207.807065,1.050015
 ,9,213.436329,204.276433,1.045407
 ,10,215.666667,205.25,1.051081
 ,11,212.957958,204.234234,1.043228
 ,12,215.5,205.304878,1.050205
15,1,440.856774,207.178065,2.129046
 ,2,221.290625,205.771875,1.075995
 ,3,224.28103,206.167447,1.087609
 ,4,217.350575,205.155172,1.059899
 ,5,216.460345,207.337931,1.044532
 ,6,221.498507,207.050746,1.070451
 ,7,216.87172,205.950437,1.053639
 ,8,218.46558,207.904891,1.051326
 ,9,213.328136,204.475311,1.043876
 ,10,216.916667,205.178571,1.057925
 ,11,213.099099,204.525526,1.042489
 ,12,216.256098,204.487805,1.058272
16,1,440.489032,206.540645,2.133993
 ,2,221.559375,206.875,1.071534
 ,3,223.795082,205.755269,1.087337
 ,4,217.712644,205.402299,1.060366
 ,5,216.598276,207.162069,1.046015
 ,6,220.328358,207.101493,1.064497
 ,7,216.737609,205.972789,1.052813
 ,8,218.031703,207.803442,1.04975
 ,9,213.589112,204.711667,1.043936
 ,10,215.785714,204.952381,1.053343
 ,11,213.375375,204.315315,1.044891
 ,12,215.158537,205.731707,1.0464
17,1,441.934194,206.650323,2.139713
 ,2,221.003125,205.3,1.077119
 ,3,223.559719,206.037471,1.084659
 ,4,217.41954,205.172414,1.060261
 ,5,216.655172,207.206897,1.046156
 ,6,220.528358,206.802985,1.066995
 ,7,216.956268,206.06414,1.053429
 ,8,218.059783,207.782609,1.050033
 ,9,213.597456,204.522774,1.044924
 ,10,216.119048,204.904762,1.055071
 ,11,213.375375,204.465465,1.044175
 ,12,215.469512,205.567073,1.048735
18,1,440.650323,206.643871,2.133705
 ,2,221.034375,206.125,1.072837
 ,3,223.763466,206.373536,1.084159
 ,4,218.62069,205.83908,1.062604
 ,5,216.662069,207.844828,1.042958
 ,6,220.901493,207.498507,1.065205
 ,7,217.350826,205.955296,1.055888
 ,8,218.003623,207.649457,1.050412
 ,9,213.493229,204.553276,1.044294
 ,10,216.988095,205.821429,1.054997
 ,11,213.576577,204.33033,1.045842
 ,12,215.926829,205.207317,1.052737
19,1,439.218065,206.670968,2.126365
 ,2,222.284375,205.690625,1.081297
 ,3,223.710773,206.06089,1.085102
 ,4,217.649425,205.741379,1.058458
 ,5,217.167241,207.415517,1.047616
 ,6,221.143284,207.379104,1.06697
 ,7,217.607386,205.873664,1.057581
 ,8,218.761775,207.574275,1.054433
 ,9,213.664068,204.366571,1.046048
 ,10,216.380952,204.892857,1.056398
 ,11,213.465465,204.51952,1.044337
 ,12,216.432927,205.213415,1.055284
20,1,439.916129,206.723871,2.129443
 ,2,222.303125,205.203125,1.083876
 ,3,223.812646,205.912178,1.086477
 ,4,217.597701,205.637931,1.058745
 ,5,217.37931,207.584483,1.047838
 ,6,220.808955,206.740299,1.068672
 ,7,217.087464,205.974733,1.054536
 ,8,218.546196,208.077899,1.050868
 ,9,213.689235,204.486937,1.04557
 ,10,216.583333,204.714286,1.05861
 ,11,213.339339,204.033033,1.046218
 ,12,215.77439,205.786585,1.04919
21,1,440.299355,206.827097,2.12988
 ,2,221.10625,205.490625,1.076534
 ,3,223.411007,206.255269,1.082666
 ,4,218.718391,205.764368,1.063626
 ,5,217.841379,207.818966,1.048735
 ,6,221.316418,207.020896,1.069621
 ,7,217.830904,206.084548,1.057571
 ,8,218.660326,207.765399,1.052966
 ,9,213.869785,204.349337,1.047163
 ,10,216.321429,205.238095,1.054527
 ,11,213.135135,204.459459,1.043073
 ,12,216.439024,205.006098,1.056303
22,1,440.989677,206.683871,2.134789
 ,2,221.2375,205.903125,1.075098
 ,3,223.384075,206.20726,1.083035
 ,4,218.316092,205.33908,1.063801
 ,5,216.889655,207.317241,1.046746
 ,6,220.668657,206.459701,1.069442
 ,7,217.329446,206.071914,1.055179
 ,8,218.938406,207.26087,1.056964
 ,9,213.711257,204.319655,1.046538
 ,10,215.714286,204.464286,1.055691
 ,11,213.942943,204.345345,1.047547
 ,12,216.109756,205.268293,1.053362
23,1,441.456774,206.530323,2.138696
 ,2,222.415625,205.821875,1.081275
 ,3,223.9274,206.245902,1.085454
 ,4,216.954023,205.603448,1.055877
 ,5,217.181034,207,1.049823
 ,6,221.465672,207.20597,1.069548
 ,7,217.312925,206.385811,1.053521
 ,8,218.455616,208.223732,1.049672
 ,9,213.913145,204.339762,1.047409
 ,10,217.154762,205.642857,1.056583
 ,11,213.33033,204.183183,1.045365
 ,12,215.25,205.695122,1.04704
24,1,440.970323,206.68129,2.134937
 ,2,221.940625,205.475,1.080698
 ,3,223.274005,206.478923,1.081055
 ,4,217.764368,205.413793,1.060741
 ,5,217.246552,207.456897,1.047701
 ,6,221.008955,207.635821,1.064847
 ,7,217.721088,206.187561,1.056528
 ,8,218.736413,207.77808,1.05332
 ,9,213.926412,204.213924,1.048114
 ,10,216.095238,204.666667,1.056447
 ,11,213.81982,204.192192,1.047744
 ,12,215.493902,205.493902,1.049201
25,1,440.827097,206.976774,2.131019
 ,2,221.140625,206.115625,1.073428
 ,3,223.250585,206.105386,1.08295
 ,4,217.798851,205.494253,1.060314
 ,5,217.281034,207.818966,1.045989
 ,6,221.071642,206.570149,1.070814
 ,7,216.904762,206.014577,1.053445
 ,8,218.088768,207.679348,1.050693
 ,9,213.565313,204.374367,1.045538
 ,10,216.892857,205.416667,1.0563
 ,11,213.426426,204.051051,1.046424
